Rung_X,Rung_Y,Rung_Z
0.22,0.09,9.20
1.46,2.31,5.00
-0.50,-0.76,6.49
-2.09,3.64,17.85
1.13,1.55,14.99
4.56,4.83,12.92
2.66,-0.23,3.78
1.84,3.70,10.36
3.14,-5.07,19.12
2.52,-1.64,13.26
0.78,0.76,8.67
1.28,-0.87,2.32
2.84,-1.09,13.93
-0.66,-1.72,14.05
0.88,4.76,-3.45
4.08,7.66,17.90
2.61,-3.72,10.89
1.83,1.23,11.08
-0.90,-0.05,19.61
-0.85,-0.45,12.00
-0.85,1.71,3.05
0.20,-0.49,4.87
-1.23,0.24,7.00
1.20,2.57,11.69
-0.94,0.35,10.12
0.67,0.60,9.32
3.90,6.37,16.62
2.23,5.33,15.67
1.62,5.55,19.61
-0.68,0.27,12.24
2.97,-1.70,8.24
3.50,3.25,19.61
1.61,4.53,9.65
1.58,-5.30,9.62
0.22,-0.37,-1.30
9.38,6.25,15.21
3.90,-0.42,19.61
-1.46,3.34,19.61
4.13,5.44,19.61
-3.04,-1.89,7.88
1.26,-4.61,19.61
1.18,0.36,17.55
2.03,-2.27,12.46
1.84,-13.91,-0.36
2.12,-2.69,14.70
-0.14,1.79,12.46
3.97,-2.38,19.61
0.16,1.70,18.68
-1.47,4.73,14.55
-2.44,-0.47,9.73
-0.91,-11.90,-14.60
-2.10,-4.92,2.50
-0.34,6.71,-12.16
0.93,8.81,13.20
1.62,3.14,8.57
-3.85,-0.90,4.44
-1.09,-3.97,-13.47
-3.04,-0.39,9.47
-0.69,-6.84,-6.50
-0.40,6.91,9.34
0.82,0.98,4.72
-0.06,0.12,14.10
0.11,-3.33,9.43
0.77,-0.39,8.53
4.29,-5.86,19.61
4.09,-3.07,17.55
-1.41,3.10,5.81
1.75,6.13,17.76
-4.51,-1.54,2.10
-0.83,5.43,11.28
0.52,0.01,18.56
-0.39,-0.89,-2.37
-0.02,1.72,19.52
3.39,0.61,19.61
4.00,3.24,19.61
1.51,-1.30,11.61
5.43,-0.09,19.61
2.53,0.41,8.26
8.94,-12.74,19.61
-5.43,16.05,16.18
0.89,7.61,11.07
-1.07,1.81,-0.26
-0.27,8.04,3.73
4.67,4.24,18.92
-0.44,3.70,13.16
2.84,0.37,11.01
2.52,-2.84,6.33
2.44,-10.42,6.41
-2.72,8.68,-1.53
6.97,-8.18,19.61
-2.84,3.11,-7.16
-3.25,3.41,6.44
2.79,0.60,12.49
4.33,-5.06,7.58
1.39,3.03,17.55
1.12,6.88,12.24
0.60,-3.17,11.61
1.13,7.04,6.40
4.02,2.21,19.61
2.24,0.67,11.88
-0.93,6.72,15.28
-0.78,4.79,12.60
-0.27,0.22,7.27
-1.92,8.72,13.34
3.34,9.79,4.75
3.07,1.52,16.66
-0.77,-2.42,4.62
1.85,-5.35,14.57
-0.14,4.05,7.01
1.45,-1.14,19.61
0.16,-2.51,-6.39
3.28,-1.31,-1.94
2.07,-3.75,14.34
2.90,-1.77,15.83
2.06,11.35,2.15
6.40,-6.12,19.61
1.91,-5.77,-7.70
0.47,-0.61,7.61
1.09,2.04,6.92
1.96,-6.53,19.61
2.20,-2.06,15.16
0.89,1.01,4.04
-3.13,2.59,4.54
1.44,-1.24,6.32
-1.06,6.50,13.18
2.97,-3.88,17.11
0.75,-0.41,8.51
-7.03,-0.28,10.44
3.18,-0.03,19.61
3.29,1.26,18.25
4.80,-19.61,19.61
0.15,-2.21,17.48
-0.15,2.52,10.14
0.37,3.31,15.60
2.16,1.11,12.51
-1.08,0.61,15.58
-2.75,-2.18,-1.08
-2.25,7.59,19.61
0.40,-1.78,3.35
1.42,4.58,17.77
3.12,-1.95,3.36
2.08,-6.80,19.61
0.88,8.13,19.61
-4.49,-0.95,-8.78
-0.94,-12.50,4.82
3.64,-1.52,19.61
0.30,2.09,13.35
0.17,8.46,15.58
-1.67,-0.56,10.10
6.58,5.63,10.45
-1.21,1.80,11.52
1.13,5.20,11.36
-0.92,2.76,1.77
-0.50,0.31,-8.55
-0.14,0.22,11.69
5.00,-4.93,10.85
-1.62,2.18,9.41
-1.52,2.77,12.21
-0.55,11.24,4.23
2.68,-3.00,3.77
-0.33,2.50,18.77
5.05,-9.98,12.57
-4.75,0.89,-12.06
-1.40,2.48,7.56
2.04,0.31,9.02
2.37,-0.85,11.86
1.95,-3.96,15.90
0.83,-2.22,2.66
-0.97,-2.43,2.82
0.55,-3.11,8.99
1.61,-1.24,18.26
1.77,1.05,15.14
2.48,-1.91,10.46
-3.54,2.14,0.09
0.56,-6.25,0.13
3.42,-0.10,19.61
0.52,-0.60,19.60
0.59,3.90,19.61
1.30,0.33,18.35
-1.87,0.88,8.06
0.16,-4.42,10.68
-1.81,3.61,13.35
0.27,0.34,12.74
-0.03,3.11,7.43
0.99,5.34,17.70
2.48,-1.01,19.61
1.74,4.59,13.07
0.97,-1.91,12.18
3.88,1.24,15.38
1.35,2.70,2.96
2.64,3.01,5.84
0.55,4.16,4.52
2.51,-8.25,18.25
-2.67,5.47,7.50
-0.56,0.19,3.18
0.99,2.09,8.37
5.54,-4.51,5.67
1.85,-4.95,11.62
-1.32,2.70,15.26
