Rung_X,Rung_Y,Rung_Z
1.59,-0.63,13.35
-1.15,0.69,11.18
-0.21,3.09,9.62
-0.03,0.48,8.54
0.10,0.96,13.43
0.11,1.44,11.47
-1.06,2.25,8.47
-0.35,0.07,7.54
0.62,-2.18,10.33
-1.03,1.04,19.06
0.60,0.12,14.95
1.03,-1.48,14.26
1.06,-0.18,5.92
0.35,1.75,11.72
1.42,-0.95,15.51
-0.38,0.19,13.16
0.54,1.35,5.80
-0.20,0.61,8.66
0.10,-2.29,6.53
0.30,0.47,14.77
0.47,2.21,10.15
0.61,-1.26,6.41
-1.05,0.34,10.44
-0.18,0.51,7.67
1.14,-1.92,10.97
0.32,2.72,14.52
-0.25,-0.77,14.04
1.27,3.51,16.25
1.76,1.98,10.87
1.56,1.04,6.02
1.62,2.42,12.04
0.45,4.15,11.29
-1.24,1.25,9.18
0.55,1.80,9.94
-0.09,1.70,6.78
-0.46,0.38,16.89
1.41,2.02,17.51
1.41,0.09,11.85
0.06,-0.47,9.84
0.08,2.03,12.94
0.97,0.73,12.63
0.66,4.02,6.70
-0.55,1.12,13.10
1.61,1.11,7.17
1.43,-0.80,13.68
0.59,1.13,14.79
-0.08,-0.51,16.33
2.55,-0.05,11.40
2.33,1.65,10.77
1.79,0.40,12.40
0.80,0.84,11.60
2.61,-1.51,8.45
1.62,0.76,8.90
0.19,2.04,11.13
1.90,1.34,13.42
0.05,0.86,12.53
0.68,-0.47,8.94
0.48,0.54,10.45
0.92,-2.89,11.66
1.36,-0.80,7.88
0.41,-0.39,13.11
2.04,5.16,19.61
2.26,0.78,19.61
1.31,0.79,14.48
-0.72,0.32,6.05
0.88,-0.53,14.62
0.70,-0.29,13.62
2.00,-1.40,17.76
0.77,1.20,15.14
2.49,2.54,19.61
0.92,-0.19,13.72
-0.30,1.34,16.62
1.16,2.36,15.43
-0.52,3.95,10.20
-0.22,-0.09,11.50
2.09,2.15,15.66
1.81,2.38,13.81
1.80,0.30,15.57
-0.33,1.27,7.55
1.11,0.45,11.70
1.08,-0.57,7.97
1.84,2.59,15.45
1.77,-4.37,6.92
0.30,1.73,11.90
0.60,1.40,6.50
1.56,-1.22,15.08
1.47,0.54,13.07
-0.28,-0.06,11.19
0.34,0.89,14.82
-2.40,-3.32,9.78
-0.13,-0.00,11.65
0.52,-0.05,10.95
-3.11,-1.64,9.22
1.17,0.31,13.11
-0.57,3.34,12.44
-1.21,1.36,7.62
-0.41,0.17,10.96
-1.00,2.50,7.80
1.88,0.66,16.42
2.01,2.44,12.64
1.38,1.25,14.17
1.96,-3.29,15.42
1.34,-2.91,13.57
-0.15,0.96,8.47
0.27,-1.55,11.49
0.59,-0.30,9.82
0.64,-0.64,10.64
0.46,0.32,7.75
1.02,-2.01,9.12
0.28,-3.14,7.95
-0.89,2.20,14.77
0.43,2.63,14.93
-0.57,0.56,10.17
-0.15,1.82,11.16
1.39,1.29,14.07
-0.67,5.20,7.32
1.61,0.38,6.60
1.07,1.10,13.86
2.29,-0.75,9.09
1.24,-3.32,8.93
2.43,-0.53,14.24
0.44,-2.21,8.91
0.94,0.44,11.92
1.48,2.03,10.13
-1.35,2.15,14.70
0.12,3.28,11.20
0.75,3.11,16.02
-0.13,-3.25,11.11
-0.76,1.10,10.10
0.68,-0.37,15.14
