Rung_X,Rung_Y,Rung_Z
4.06,0.54,8.40
0.04,5.12,16.38
4.17,2.51,4.95
2.13,1.43,13.39
0.19,1.28,12.15
-0.20,1.21,6.51
1.84,2.03,10.13
2.15,-1.36,10.42
-0.89,0.67,8.25
1.84,-0.55,19.61
3.69,4.32,19.61
2.79,4.93,1.48
-1.97,12.95,-8.67
1.14,3.88,17.87
2.56,-2.60,18.11
3.57,2.37,12.04
2.04,-5.96,12.12
0.05,1.84,2.87
1.21,0.66,12.27
2.34,3.30,-3.69
-0.43,5.84,-1.73
1.29,3.29,16.73
